"","date","tot_phyto","chrooco","nosto","oscillato","tot_cyanobac","r_chrooco","r_nosto","r_oscillato","r_cyanobac","d_chrooco","d_nosto","d_oscillato","d_cyanobac","NH4_N","NO3_N","PO4_P","temperature","depth","tot_zoo","microzoo","daphniidae","cyclopoida","calanoida","lake"
"1",1986-01-13,64430000,0,14400000,8400000,22800000,0,0.223498370324383,0.13037404935589,0.353872419680273,64430000,50030000,56030000,41630000,NA,2.04357142857143,0.1845,4.45333333333333,"0_65m",1366600,465000,219300,149250,364900,"BAL"
"2",1986-03-17,94825000,0,0,245000,245000,0,0,0.00258370682836805,0.00258370682836805,94825000,94825000,94580000,94580000,NA,2.25142857142857,0.184214285714286,3.22666666666667,"0_65m",1371990,284000,46300,403690,613500,"BAL"
"3",1987-02-09,127171800,0,3600000,9100000,12700000,0,0.0283081626587026,0.0715567444983872,0.0998649071570899,127171800,123571800,118071800,114471800,NA,2.36142857142857,0.173,3.26,"0_65m",1633470,1126200,6750,107870,369100,"BAL"
"4",1986-04-07,173139000,0,2160000,1190000,3350000,0,0.0124755254448738,0.00687309040712953,0.0193486158520033,173139000,170979000,171949000,169789000,NA,2.51357142857143,0.172,4.22,"0_65m",1008700,314000,20100,49850,606500,"BAL"
"5",1986-06-02,188425200,0,0,1260000,1260000,0,0,0.00668700364919342,0.00668700364919342,188425200,188425200,187165200,187165200,NA,2.45153846153846,0.157307692307692,7.57142857142857,"0_65m",3312750,731500,1300300,237450,777000,"BAL"
"6",1987-06-01,258738000,0,322000,3570000,3892000,0,0.00124450216048667,0.0137977413445261,0.0150422435050128,258738000,258416000,255168000,254846000,0.0307142857142857,2.33071428571429,0.140642857142857,7.18,"0_65m",5550000,1374350,2059500,1263150,725000,"BAL"
"7",1995-12-11,285660000,0,0,1.75e+08,1.75e+08,0,0,0.612616397115452,0.612616397115452,285660000,285660000,110660000,110660000,NA,1.51686666666667,0.0775441466666667,6.24,"0_65m",645850,302900,110660,74510,148200,"BAL"
"8",2003-02-10,374880000,13800000,5460000,1.68e+08,187260000,0.0368117797695263,0.0145646606914213,0.448143405889885,0.499519846350832,361080000,369420000,206880000,187620000,0.0116133333333333,1.34706666666667,0.0369533333333333,4.8809375,"0_65m",668355,325000,62450,136100,133000,"BAL"
"9",1989-05-01,442143000,440000,0,2.45e+08,245440000,0.000995153151808352,0,0.554119368620559,0.555114521772368,441703000,442143000,197143000,196703000,NA,2.17857142857143,0.0957142857142857,6.53333333333333,"0_65m",2355065,573250,443900,486465,475850,"BAL"
"10",2012-02-13,465234200,0,450000,3.71e+08,371450000,0,0.000967254771897681,0.797447823053421,0.798415077825319,465234200,464784200,94234200,93784200,0.00652,1.66086666666667,0.0123266666666667,3.34733333333333,"0_65m",1116780,606500,13350,108180,388750,"BAL"
"11",2018-03-19,476274200,0,720000,3.85e+08,385720000,0,0.00151173420689174,0.808357874518502,0.809869608725394,476274200,475554200,91274200,90554200,0.01398,1.50153333333333,0.0095,4.707,"0_65m",799820,551745,1365,47210,120550,"BAL"
"12",2003-01-13,514270000,0,2250000,2.17e+08,219250000,0,0.00437513368464036,0.421957337585315,0.426332471269955,514270000,512020000,297270000,295020000,0.00924,1.32833333333333,0.0347333333333333,5.8165625,"0_65m",1065480,409500,119450,261450,230940,"BAL"
"13",1988-03-07,553109000,0,0,4.55e+08,4.55e+08,0,0,0.822622665695188,0.822622665695188,553109000,553109000,98109000,98109000,0.0121428571428571,2.06428571428571,0.132,4.3,"0_65m",1644550,736500,84500,217600,593950,"BAL"
"14",1993-02-08,553778500,130000,0,23100000,23230000,0.000234750897696462,0,0.0417134287445251,0.0419481796422216,553648500,553778500,530678500,530548500,0.0131333333333333,1.957,0.0863333333333333,4.5,"0_65m",826205,360250,159000,45570,231550,"BAL"
"15",2000-03-08,590914000,9e+05,0,0,9e+05,0.0015230642699276,0,0,0.0015230642699276,590014000,590914000,590914000,590014000,0.0179333333333333,2.13446666666667,0.0732,4.683,"0_65m",949970,289750,22100,102800,531100,"BAL"
"16",1994-05-30,597621000,5e+05,0,67900000,68400000,0.000836650653173165,0,0.113617158700916,0.114453809354089,597121000,597621000,529721000,529221000,NA,NA,NA,NA,"0_65m",785705,142100,297800,96520,147500,"BAL"
"17",1993-03-08,638380000,8.5e+07,0,14700000,99700000,0.133149534759861,0,0.0230270371878818,0.156176571947743,553380000,638380000,623680000,538680000,NA,2.00533333333333,0.0869617,4.49375,"0_65m",1149555,395000,24785,111635,601150,"BAL"
"18",2007-10-22,643062150,0,40500000,3150,40503150,0,0.0629799157048817,4.89843788815747e-06,0.0629848141427699,643062150,602562150,643059000,602559000,0.0247666666666667,1.40213333333333,0.01414,8.70625,"0_65m",1436090,945000,83750,237650,141500,"BAL"
"19",2003-05-05,653450000,3e+06,23400000,2.8e+08,306400000,0.00459101691024562,0.0358099318999158,0.428494911622924,0.468895860433086,650450000,630050000,373450000,347050000,0.01602,1.21546666666667,0.0166533333333333,7.895375,"0_65m",1551250,159000,676000,454000,212750,"BAL"
"20",1993-06-01,695081000,1050000,0,2240000,3290000,0.00151061530958262,0,0.00322264599377626,0.00473326130335889,694031000,695081000,692841000,691791000,NA,1.86173986666667,0.0627172866666667,9.425,"0_65m",1363950,456650,297500,245300,290550,"BAL"
"21",1993-01-11,728138000,390000,0,6510000,6900000,0.000535612754725066,0,0.00894061290579533,0.0094762256605204,727748000,728138000,721628000,721238000,NA,1.93133333333333,0.0882001,4.6,"0_65m",1522550,682620,150470,90010,538050,"BAL"
"22",2008-04-07,729017000,0,1980000,3.43e+08,344980000,0,0.00271598604696461,0.470496572782253,0.473212558829218,729017000,727037000,386017000,384037000,0.0102666666666667,1.55286666666667,0.00690666666666667,5.606,"0_65m",1161930,800000,2935,57700,288500,"BAL"
"23",2000-01-10,741312000,355000,0,0,355000,0.000478880687214021,0,0,0.000478880687214021,740957000,741312000,741312000,740957000,0.0196,1.45833333333333,0.0809066666666667,4.91,"0_65m",448870,221585,43100,45835,113400,"BAL"
"24",1986-06-30,753241600,0,38270000,7700000,45970000,0,0.0508070717283804,0.0102224837289921,0.0610295554573725,753241600,714971600,745541600,707271600,NA,2.42857142857143,0.152142857142857,9.23333333333333,"0_65m",3246625,164255,2944650,36065,75600,"BAL"
"25",2002-12-16,769948000,7.8e+07,0,2.52e+08,3.3e+08,0.101305542711975,0,0.327294830300228,0.428600373012203,691948000,769948000,517948000,439948000,0.01878,1.27333333333333,0.0356133333333333,6.969625,"0_65m",387460,158000,30900,114905,70820,"BAL"
"26",1987-03-09,775214000,0,5400000,6790000,12190000,0,0.00696581847077065,0.00875887174380236,0.015724690214573,775214000,769814000,768424000,763024000,0.0192857142857143,2.35857142857143,0.165071428571429,3.2,"0_65m",2500140,1638600,7000,117070,718800,"BAL"
"27",2000-02-07,778560000,20400000,0,0,20400000,0.0262022194821208,0,0,0.0262022194821208,758160000,778560000,778560000,758160000,0.0213333333333333,1.56473333333333,0.0826001,4.2545,"0_65m",611620,123600,34400,106010,347200,"BAL"
"28",2001-10-22,799610000,37670000,46440000,1.89e+08,273110000,0.0471104663523468,0.0580783131776741,0.236365228048674,0.341554007578695,761940000,753170000,610610000,526500000,0.04624002,1.13006666666667,0.02582,9.5345625,"0_65m",463290,81500,56950,221740,89750,"BAL"
"29",2004-03-08,820590000,3420000,0,2.38e+08,241420000,0.00416773297261726,0,0.290035218562254,0.294202951534871,817170000,820590000,582590000,579170000,0.0081,1.41213333333333,0.0190266666666667,4.3634375,"0_65m",1042500,414500,21000,148000,409500,"BAL"
"30",2002-03-11,824919000,0,22500000,3.22e+08,344500000,0,0.0272754052216036,0.390341354726949,0.417616759948553,824919000,802419000,502919000,480419000,0.0313693333333333,1.3466,0.02668,5.164375,"0_65m",587240,330000,29070,76800,140670,"BAL"
"31",1995-02-06,828620000,0,17640000,415100000,432740000,0,0.0212884072313002,0.500953392387343,0.522241799618643,828620000,810980000,413520000,395880000,0.0132666666666667,1.64126666666667,0.07,4.923125,"0_65m",940580,535000,43660,119900,239050,"BAL"
"32",1993-04-05,830857000,5e+05,0,1750000,2250000,0.000601788274035123,0,0.00210625895912293,0.00270804723315805,830357000,830857000,829107000,828607000,NA,2.15746666666667,0.0682500066666667,4.94,"0_65m",634740,212500,29000,85690,299500,"BAL"
"33",1991-02-11,838811000,550000,29400000,4.62e+08,491950000,0.000655690018371242,0.0350496118911173,0.550779615431843,0.586484917341332,838261000,809411000,376811000,346861000,NA,1.722,NA,3.725,"0_65m",596050,259800,104450,33450,173050,"BAL"
"34",2014-01-27,858518000,0,0,4.83e+08,4.83e+08,0,0,0.562597406227942,0.562597406227942,858518000,858518000,375518000,375518000,NA,NA,NA,4.862,"0_65m",1197555,665050,16955,79455,413450,"BAL"
"35",1993-05-03,882357500,1200000,0,6160000,7360000,0.00135999297336964,0,0.00698129726329747,0.00834129023666711,881157500,882357500,876197500,874997500,0.0343333333333333,1.78113333333333,0.0595933666666667,7.54375,"0_65m",2945390,1118200,515500,782590,407500,"BAL"
"36",1997-01-13,891986000,0,0,8.4e+08,8.4e+08,0,0,0.941718816214604,0.941718816214604,891986000,891986000,51986000,51986000,NA,1.53589454666667,0.07397012,4.09375,"0_65m",465680,247000,33750,8420,174550,"BAL"
"37",2004-02-16,896138000,1800000,11700000,3.22e+08,335500000,0.00200861920820231,0.013056024853315,0.359319658356191,0.374384302417708,894338000,884438000,574138000,560638000,0.00403076923076923,1.39869230769231,0.0200846153846154,4.59271428571429,"0_65m",1014750,500000,40000,181500,288750,"BAL"
"38",2016-01-11,922579800,64000,0,847120000,847184000,6.93706929200054e-05,0,0.918207834162421,0.918277204855341,922515800,922579800,75459800,75395800,NA,NA,NA,6.41533333333333,"0_65m",1639140,927995,146560,101590,410250,"BAL"
"39",1988-11-14,929753500,17280000,13760000,1.26e+08,157040000,0.0185855713369189,0.0147996216201391,0.135519790998367,0.168904983955425,912473500,915993500,803753500,772713500,NA,2.16357142857143,0.131142857142857,7.00666666666667,"0_65m",1506650,460500,278000,639700,104350,"BAL"
"40",1999-02-08,931099000,0,4270000,2.38e+08,242270000,0,0.00458597850497101,0.255611916670515,0.260197895175486,931099000,926829000,693099000,688829000,0.01064,1.38746666666667,0.0798066666666667,4,"0_65m",1708845,511500,47925,104470,473750,"BAL"
"41",1994-02-07,943708000,0,2.24e+08,548800000,772800000,0,0.237361556752724,0.581535814044175,0.818897370796899,943708000,719708000,394908000,170908000,0.0110733333333333,1.91191562666667,0.0809118,4.555625,"0_65m",363970,225000,4900,32250,99970,"BAL"
"42",1998-02-16,976357000,1300000,36540000,669900000,707740000,0.00133148018603851,0.0374248353829593,0.686121982020921,0.724878297589918,975057000,939817000,306457000,268617000,0.0197333333333333,1.286,0.073,4.6625,"0_65m",672300,434200,26300,19900,191500,"BAL"
"43",2017-11-06,998498400,81248000,21044000,504108000,606400000,0.0813701854705025,0.0210756471918232,0.50486610694619,0.607311939608516,917250400,977454400,494390400,392098400,NA,NA,NA,9.36566666666667,"0_65m",1122875,787500,117250,51750,128000,"BAL"
"44",1989-03-06,1007750000,0,0,3.85e+08,3.85e+08,0,0,0.382039196229223,0.382039196229223,1007750000,1007750000,622750000,622750000,0.005,2.26,0.12,4.62,"0_65m",1611600,1066800,77100,76900,336000,"BAL"
"45",2007-02-12,1018419800,0,9900000,7.7e+08,779900000,0,0.00972094218906584,0.756073281371788,0.765794223560854,1018419800,1008519800,248419800,238519800,0.00933333333333333,1.7602,0.0164933333333333,5.19125,"0_65m",949140,542130,49800,35610,207450,"BAL"
"46",2013-01-28,1023809000,360600,3600000,9.1e+08,913960600,0.000352214133690952,0.00351628086879486,0.888837664056479,0.892706159058965,1023448400,1020209000,113809000,109848400,NA,NA,NA,4.76466666666667,"0_65m",1623210,956655,120700,172550,343050,"BAL"
"47",1988-12-12,1025106000,0,0,6.93e+08,6.93e+08,0,0,0.67602764982353,0.67602764982353,1025106000,1025106000,332106000,332106000,NA,2.18571428571429,0.117642857142857,6.1,"0_65m",1610800,930000,149500,196350,252700,"BAL"
"48",2005-01-10,1027539200,0,12600000,9.1e+08,922600000,0,0.0122623059052151,0.885610982043313,0.897873287948528,1027539200,1014939200,117539200,104939200,0.01494,1.31,0.0133533333333333,5.57775,"0_65m",609255,321500,25805,93350,141400,"BAL"
"49",2011-12-12,1046390600,1728000,2700000,771400000,775828000,0.00165139098153214,0.00258029840864396,0.737200812010353,0.741432501400529,1044662600,1043690600,274990600,270562600,NA,NA,NA,6.751,"0_65m",2107390,989500,268000,667690,180500,"BAL"
"50",1996-02-05,1056375000,0,11900000,9.8e+08,991900000,0,0.0112649390604662,0.9277008638031,0.938965802863566,1056375000,1044475000,76375000,64475000,0.00987853333333333,1.6817928,0.0804415,4.2075,"0_65m",525770,180000,76000,23600,241870,"BAL"
"51",1989-02-06,1060796000,0,0,3.85e+08,3.85e+08,0,0,0.362935003525654,0.362935003525654,1060796000,1060796000,675796000,675796000,NA,2.24,0.126,4.49333333333333,"0_65m",1630190,1335000,17615,60030,200280,"BAL"
"52",2002-11-18,1063696000,0,57620000,3.22e+08,379620000,0,0.0541696123704517,0.302718069824461,0.356887682194913,1063696000,1006076000,741696000,684076000,0.0265333333333333,1.12273333333333,0.0328933333333333,7.923875,"0_65m",1128920,254500,191200,564860,98050,"BAL"
"53",2005-12-12,1071337000,0,36900000,7.7e+08,806900000,0,0.0344429437235902,0.718728093961097,0.753171037684687,1071337000,1034437000,301337000,264437000,0.0217933333333333,1.42873333333333,0.02122,6.3274375,"0_65m",1421340,945000,203350,127040,143900,"BAL"
"54",1989-05-29,1077532000,0,0,4.41e+08,4.41e+08,0,0,0.409268587847043,0.409268587847043,1077532000,1077532000,636532000,636532000,0.0185714285714286,2.24857142857143,0.0931428571428571,9.14,"0_65m",2121000,1008500,338500,340000,278000,"BAL"
"55",2003-03-10,1078700000,29850000,0,3.71e+08,400850000,0.0276721980161305,0,0.343932511356262,0.371604709372393,1048850000,1078700000,707700000,677850000,0.00970666666666667,1.37433333333333,0.0376933333333333,4.6250625,"0_65m",173300,58000,33875,44125,32750,"BAL"
"56",1999-12-13,1079308600,170000,0,0,170000,0.000157508241850385,0,0,0.000157508241850385,1079138600,1079308600,1079308600,1079138600,NA,1.45393333333333,0.08860676,5.83775,"0_65m",1629360,361550,420355,171105,205800,"BAL"
"57",2012-03-19,1081727000,0,2700000,3.64e+08,366700000,0,0.00249600869720364,0.336498950289676,0.338994958986879,1081727000,1079027000,717727000,715027000,0.0105,1.71933333333333,0.00656666666666667,4.37033333333333,"0_65m",818275,315300,1950,48175,452550,"BAL"
"58",1987-07-27,1085293000,0,589650000,0,589650000,0,0.543309502595152,0,0.543309502595152,1085293000,495643000,1085293000,495643000,NA,2.34428571428571,0.137928571428571,8.62666666666667,"0_65m",1976200,1320500,176400,156200,316000,"BAL"
"59",1993-11-15,1091556000,0,507500000,2.1e+08,717500000,0,0.46493262828476,0.192385915152315,0.657318543437075,1091556000,584056000,881556000,374056000,NA,1.8138,0.08292004,6.5725,"0_65m",678935,281700,175850,137790,80150,"BAL"
"60",2003-12-15,1097597000,20905000,0,2.03e+08,223905000,0.0190461526407233,0,0.184949485102456,0.203995637743179,1076692000,1097597000,894597000,873692000,NA,NA,NA,NA,"0_65m",714850,214500,54900,169000,264500,"BAL"
"61",2004-04-05,1111285000,0,47300000,2.8e+08,327300000,0,0.0425633388374719,0.251960568171081,0.294523907008553,1111285000,1063985000,831285000,783985000,0.0180466666666667,1.41446666666667,0.01224,5.6995625,"0_65m",581905,235000,27055,115100,190450,"BAL"
"62",2001-01-15,1111449000,550000,69300000,39200000,109050000,0.000494849516262105,0.0623510390490252,0.03526927461359,0.0981151631788773,1110899000,1042149000,1072249000,1002399000,0.0103333333333333,1.4958,0.0405066666666667,5.7523125,"0_65m",535530,170500,34800,39710,289870,"BAL"
"63",2018-04-09,1140978000,0,19800000,7.7e+08,789800000,0,0.0173535335475355,0.674859637959715,0.692213171507251,1140978000,1121178000,370978000,351178000,0.0144928571428571,1.49357142857143,0.00538571428571429,5.96931034482759,"0_65m",588325,423000,5970,19755,104800,"BAL"
"64",1989-01-09,1142686000,0,0,5.46e+08,5.46e+08,0,0,0.477821553777678,0.477821553777678,1142686000,1142686000,596686000,596686000,NA,2.16857142857143,0.128,5.2,"0_65m",2382000,1776500,104800,71150,376550,"BAL"
"65",1992-12-14,1143616000,3e+06,373800000,8.4e+07,460800000,0.00262325815658403,0.32685796631037,0.0734512283843528,0.402932452851307,1140616000,769816000,1059616000,682816000,NA,1.85066666666667,0.0838,6,"0_65m",1535350,276600,539250,131250,488950,"BAL"
